datetime,open,high,low,close,volume
2022-03-03 11:00:00,1.33249,1.33458,1.33193,1.33337,17201
2022-03-03 12:00:00,1.33337,1.33515,1.33289,1.33513,8474
2022-03-03 13:00:00,1.33512,1.33574,1.33344,1.33348,5953
2022-03-03 14:00:00,1.33348,1.33432,1.3332,1.33387,6483
2022-03-03 15:00:00,1.3339,1.33492,1.33384,1.33487,1618
2022-03-03 16:00:00,1.33493,1.33564,1.33451,1.33458,121
2022-03-03 17:00:00,1.3345,1.3351,1.33442,1.33506,1100
2022-03-03 18:00:00,1.33506,1.33506,1.33176,1.33236,12673
2022-03-03 19:00:00,1.33236,1.33522,1.33158,1.33458,17422
2022-03-03 20:00:00,1.33456,1.33472,1.33364,1.33378,9202
2022-03-03 21:00:00,1.33376,1.33438,1.33343,1.33358,6671
2022-03-03 22:00:00,1.33357,1.33456,1.33334,1.33434,6498
2022-03-03 23:00:00,1.33434,1.33484,1.33344,1.33382,5613
2022-03-04 00:00:00,1.33382,1.33454,1.33324,1.33338,4808
2022-03-04 01:00:00,1.33338,1.33428,1.33191,1.33234,10102
2022-03-04 02:00:00,1.33235,1.33274,1.33028,1.33106,12445
2022-03-04 03:00:00,1.33102,1.33196,1.33036,1.33048,8869
2022-03-04 04:00:00,1.33048,1.33172,1.32945,1.33124,10089
2022-03-04 05:00:00,1.33124,1.33172,1.32823,1.32871,10070
2022-03-04 06:00:00,1.32872,1.32917,1.32594,1.32666,9715
2022-03-04 07:00:00,1.32665,1.32798,1.32201,1.32309,20176
2022-03-04 08:00:00,1.3231,1.32488,1.32106,1.32208,17937
2022-03-04 09:00:00,1.32208,1.3228,1.32022,1.32189,15775
2022-03-04 10:00:00,1.32192,1.32274,1.32052,1.32119,12467
2022-03-04 11:00:00,1.3212,1.32356,1.32097,1.32281,10186
2022-03-04 12:00:00,1.32282,1.32416,1.32264,1.32382,5993
2022-03-04 13:00:00,1.32383,1.32458,1.32172,1.32196,6372
2022-03-04 14:00:00,1.32196,1.32498,1.32175,1.3249,8219
2022-03-04 15:00:00,1.3249,1.32492,1.32246,1.32375,3813
2022-03-06 16:00:00,1.32298,1.32496,1.32252,1.32335,480
2022-03-06 17:00:00,1.32334,1.32413,1.32019,1.32116,10702
2022-03-06 18:00:00,1.32116,1.32228,1.3201,1.32011,7256
2022-03-06 19:00:00,1.3201,1.32068,1.3185,1.32016,16043
2022-03-06 20:00:00,1.32016,1.32103,1.3189,1.3199,10651
2022-03-06 21:00:00,1.3199,1.32218,1.31934,1.32086,10899
2022-03-06 22:00:00,1.32086,1.32171,1.32049,1.32163,5287
2022-03-06 23:00:00,1.32159,1.32238,1.32076,1.32141,6694
2022-03-07 00:00:00,1.3214,1.32202,1.32064,1.32174,8386
2022-03-07 01:00:00,1.32173,1.32288,1.32008,1.32022,13446
2022-03-07 02:00:00,1.32022,1.32108,1.31564,1.31686,17442
2022-03-07 03:00:00,1.31686,1.3179,1.31564,1.31687,15722
2022-03-07 04:00:00,1.31687,1.31772,1.31412,1.31549,12884
2022-03-07 05:00:00,1.31547,1.31719,1.31418,1.31693,12136
2022-03-07 06:00:00,1.31694,1.32144,1.3165,1.31858,25219
2022-03-07 07:00:00,1.3186,1.32013,1.31708,1.31732,21507
2022-03-07 08:00:00,1.31732,1.31983,1.31546,1.31552,23167
2022-03-07 09:00:00,1.31551,1.31614,1.31176,1.31352,21123
2022-03-07 10:00:00,1.31352,1.31388,1.31022,1.31132,14797
2022-03-07 11:00:00,1.31132,1.31363,1.3107,1.31122,14161
